name,rank,totalEvents,townHall,ticketedEvent,teleTownHall,officeHour,emptyChair,other
Ron Wyden,1,25,25,0,0,0,0,0
Claire McCaskill,2,20,19,0,1,0,0,0
Will Hurd,3,19,19,0,0,0,0,0
Roger Marshall,4,16,15,0,0,0,0,2
Buddy Carter,5,15,14,0,0,0,0,1
Ron Kind,6,13,13,0,0,0,0,0
Mike Thompson,7,17,12,0,0,0,0,5
Jared Polis,8,13,12,0,0,0,0,1
Peter DeFazio,9,12,12,0,0,0,0,0
Mark DeSaulnier,10,11,11,0,0,0,0,0
Chuck Grassley,11,18,11,0,0,7,0,0
James Comer Jr.,12,10,10,0,0,0,0,0
Tom McClintock,13,9,9,0,0,0,0,0
Jeff Merkley,14,9,9,0,0,0,0,0
Robert Pittenger,15,9,9,0,0,0,0,0
Deb Fischer,16,20,9,0,0,10,0,1
Frank D. Lucas,17,8,8,0,0,0,0,0
Chris Murphy,18,9,8,0,0,0,0,1
Danny K. Davis,19,9,8,0,0,0,0,1
Derek Kilmer,20,8,8,0,0,0,0,0
Kurt Schrader,21,7,7,0,0,0,0,0
Mike Johnson,22,7,7,0,0,0,0,0
Jerry Moran,23,8,7,0,0,0,1,0
Michael Bennet,24,7,7,0,0,0,0,0
Scott Taylor,25,6,6,0,0,0,0,0
John Garamendi,26,6,6,0,0,0,0,0
Leonard Lance,27,6,6,0,0,0,0,0
Jeb Hensarling,28,6,6,0,0,0,0,0
Mike Conaway,29,6,6,0,0,0,0,0
Gene Green,30,8,6,0,1,0,0,1
Bradley Byrne,31,8,6,0,0,0,0,2
Tim Walberg,32,6,6,0,0,0,0,0
Glenn Grothman,33,8,6,0,0,2,0,0
Adriano Espaillat,34,7,6,1,0,0,0,0
Patrick T. McHenry,35,6,6,0,0,0,0,0
Debbie Dingell,36,6,6,0,0,0,0,0
Jeff Fortenberry,37,5,5,0,0,0,0,0
Ro Khanna,38,5,5,0,0,0,0,0
Jim Himes,39,5,5,0,0,0,0,0
Gary Palmer,40,5,5,0,0,0,0,0
Tom Rice,41,16,5,0,0,11,0,0
Elizabeth Warren,42,5,5,0,0,0,0,0
Betty McCollum,43,7,5,0,0,1,0,1
Bill Cassidy,44,5,5,0,0,0,0,0
Daniel Webster,45,7,5,0,0,0,0,2
Frank Lucas,46,4,4,0,0,0,0,0
Tom Cole,47,4,4,0,0,0,0,0
Brian Mast,48,4,4,0,0,0,0,0
Rod Blum,49,9,4,0,0,4,0,1
Dave Loebsack,50,12,4,0,0,2,0,6
Joe Barton,51,4,4,0,0,0,0,0
Mark Walker,52,4,4,0,0,0,0,0
Jared Huffman,53,6,4,0,0,0,0,2
Ryan Costello,54,12,4,0,2,3,0,3
Adrian Smith,55,10,4,0,0,6,0,0
Ron Estes,56,4,4,0,0,0,0,0
Donald Norcross,57,5,4,0,0,0,0,1
Rick Nolan,58,12,4,0,0,7,0,1
Rick Larsen,59,7,4,0,0,3,0,0
Barbara Lee,60,6,4,0,0,1,0,1
Kevin Cramer,61,7,4,0,0,3,0,0
Carol Shea-Porter,62,9,4,0,0,5,0,0
Donald Beyer,63,6,4,0,0,2,0,0
Adam Schiff,64,4,4,0,0,0,0,0
Ken Buck,65,6,4,0,0,0,0,2
Nanette Barragán,66,6,4,0,0,0,0,2
Yvette D. Clarke,67,5,4,0,0,0,0,1
Terri Sewell,68,4,4,0,0,0,0,0
Don Bacon,69,6,4,0,0,0,0,2
Matt Cartwright,70,4,4,0,0,0,0,0
Jim Langevin,71,4,3,0,0,0,0,1
Brad Schneider,72,27,3,0,0,18,0,6
Karen Bass,73,5,3,0,0,0,0,2
Tom Reed,74,4,3,0,0,0,0,1
Greg Walden,75,3,3,0,0,0,0,0
Colleen Hanabusa,76,3,3,0,0,0,0,0
Tom Cotton,77,4,3,0,0,0,1,0
Salud Carbajal,78,7,3,0,0,2,0,2
Mark Pocan,79,5,3,0,0,1,0,1
Joni Ernst,80,4,3,1,0,0,0,0
Theodore E. Deutch,81,3,3,0,0,0,0,0
Tony Cárdenas,82,3,3,0,0,0,0,0
Michael Capuano,83,3,3,0,0,0,0,0
Bill Huizenga,84,3,3,0,0,0,0,0
Richard Blumenthal,85,3,3,0,0,0,0,0
Nydia Velázquez,86,3,3,0,0,0,0,0
Jackie Speier,87,3,3,0,0,0,0,0
Steve Womack,88,9,3,0,0,4,0,2
Brenda Lawrence,89,3,3,0,0,0,0,0
Justin Amash,90,3,3,0,0,0,0,0
Beto O'Rourke,91,3,3,0,0,0,0,0
Mike Rounds,92,3,3,0,0,0,0,0
Cory Gardner,93,7,3,0,1,0,2,1
Joyce Beatty,94,5,3,0,1,0,0,1
Kirsten Gillibrand,95,3,3,0,0,0,0,0
Paul Tonko,96,9,3,0,0,0,0,6
Ed Markey,97,3,3,0,0,0,0,0
Mark Takano,98,3,3,0,0,0,0,0
Seth Moulton,99,5,3,0,0,2,0,0
Jody Hice,100,7,3,1,0,2,0,1
Sean Maloney,101,3,2,0,0,1,0,0
Earl Blumenauer,102,2,2,0,0,0,0,0
Gus Bilirakis,103,2,2,0,0,0,0,0
Matt Gaetz,104,7,2,0,0,0,0,5
Raul Labrador,105,2,2,0,0,0,0,0
Bobby Scott,106,2,2,0,0,0,0,0
Anthony Brown,107,2,2,0,0,0,0,0
Mazie K. Hirono,108,2,2,0,0,0,0,0
Tom Emmer,109,3,2,0,0,1,0,0
Ben Ray Lujan,110,2,2,0,0,0,0,0
David N. Cicilline,111,3,2,0,1,0,0,0
Ruben Gallego,112,2,2,0,0,0,0,0
Elzabeth Esty,113,2,2,0,0,0,0,0
Raja Krishnamoorthi,114,13,2,0,0,11,0,0
A. Donald McEachin,115,4,2,0,0,0,0,2
Hakeem Jeffries,116,2,2,0,0,0,0,0
Mark Veasey,117,4,2,0,0,2,0,0
Michael Burgess,118,2,2,0,0,0,0,0
Joaquin Castro,119,2,2,0,0,0,0,0
Clay Higgins,120,2,2,0,0,0,0,0
Alcee L. Hastings,121,2,2,0,0,0,0,0
Joe Courtney,122,2,2,0,0,0,0,0
Tim Walz,123,2,2,0,0,0,0,0
Suzanne Bonamici,124,2,2,0,0,0,0,0
Jimmy Panetta,125,2,2,0,0,0,0,0
Bobby Rush,126,3,2,0,0,0,0,1
Maria Cantwell,127,2,2,0,0,0,0,0
Jan Schakowsky,128,2,2,0,0,0,0,0
Jerry McNerney,129,2,2,0,0,0,0,0
Brian E. Schatz,130,2,2,0,0,0,0,0
Judy Chu,131,2,2,0,0,0,0,0
David Price,132,2,2,0,0,0,0,0
Eric Swalwell,133,4,2,0,0,0,0,2
Lou Correa,134,2,2,0,0,0,0,0
Larry Bucshon,135,2,2,0,0,0,0,0
Martha Roby,136,2,2,0,0,0,0,0
Rob Bishop,137,2,2,0,0,0,0,0
G.K. Butterfield,138,3,2,0,0,0,0,1
Thomas Suozzi,139,1,1,0,0,0,0,0
David Brat,140,2,1,0,0,0,1,0
Ben Cardin & Chris Van Hollen,141,1,1,0,0,0,0,0
Claudia Tenney,142,6,1,0,0,3,2,0
Edward Markey,143,1,1,0,0,0,0,0
Ami Bera,144,10,1,0,0,9,0,0
David Cicillne,145,1,1,0,0,0,0,0
Yvette Clarke,146,1,1,0,0,0,0,0
Ruben Kihuen,147,4,1,1,0,1,0,1
Bruce Westerman,148,2,1,0,1,0,0,0
Sean Patrick Maloney,149,1,1,0,0,0,0,0
Dave Brat,150,1,1,0,0,0,0,0
Tim Scott,151,1,1,0,0,0,0,0
John Faso,152,6,1,0,0,0,0,5
Alma Adams,153,5,1,0,0,2,0,2
Lucille Roybal-Allard,154,1,1,0,0,0,0,0
Jeff Denham,155,16,1,0,0,14,0,1
Rep John Sarbanes,156,1,1,0,0,0,0,0
John Katko,157,6,1,0,1,0,2,2
Brad Sherman,158,4,1,0,1,0,0,2
Debbie Wasserman Schultz,159,1,1,0,0,0,0,0
Doug Collins,160,2,1,0,0,1,0,0
Steve Pearce,161,3,1,0,1,1,0,0
Nanette Barragan,162,1,1,0,0,0,0,0
David Ciciline,163,1,1,0,0,0,0,0
Steve Stivers,164,1,1,0,0,0,0,0
Dan Sullivan,165,1,1,0,0,0,0,0
Francis Rooney,166,1,1,0,0,0,0,0
Ro khanna,167,1,1,0,0,0,0,0
Nancy Lusk, Valdenia Winn, Brett Parker, Jarrod Ousley,168,1,1,0,0,0,0,0
Donald Payne,169,1,1,0,0,0,0,0
Emanuel Cleaver,170,1,1,0,0,0,0,0
Glenn Thompson,171,5,1,0,1,3,0,0
Collin Peterson,172,1,1,0,0,0,0,0
Doug LaMalfa,173,2,1,1,0,0,0,0
Adam Smith,174,1,1,0,0,0,0,0
Chris Stewart,175,2,1,0,0,0,1,0
Jason Lewis,176,2,1,0,0,0,1,0
Katherine Clark,177,1,1,0,0,0,0,0
Donald McEachin,178,1,1,0,0,0,0,0
Keith Ellison,179,7,1,0,0,0,0,6
John Delaney,180,3,1,0,0,0,0,2
Rosa DeLauro,181,1,1,0,0,0,0,0
Lamar Smith,182,1,1,0,0,0,0,0
William Keating,183,1,1,0,0,0,0,0
Mike Coffman,184,2,1,0,0,0,1,0
Garret Graves,185,2,1,0,0,0,0,1
Cory Booker,186,1,1,0,0,0,0,0
Marcia Fudge,187,1,1,0,0,0,0,0
Dean Heller,188,3,1,0,0,0,1,1
Doris Matsui,189,1,1,0,0,0,0,0
Jim Sensenbrenner,190,1,1,0,0,0,0,0
Martha McSally,191,6,1,2,0,0,2,1
Dan Kildee,192,1,1,0,0,0,0,0
Thomas Garrett,193,2,1,0,1,0,0,0
Sanford Bishop,194,1,1,0,0,0,0,0
Lloyd Doggett,195,1,1,0,0,0,0,0
James Comer,196,1,1,0,0,0,0,0
Mike Rogers,197,6,1,0,0,5,0,0
David Young,198,13,1,0,0,3,0,9
Cathy McMorris Rodgers,199,1,1,0,0,0,0,0
John Thune,200,1,1,0,0,0,0,0
Johnny Isakson,201,1,1,0,0,0,0,0
Tom MacArthur,202,4,1,0,1,0,1,1
John Conyers, Jr.,203,1,1,0,0,0,0,0
Robin Kelly,204,1,1,0,0,0,0,0
Dennis Ross,205,1,1,0,0,0,0,0
Sean Duffy,206,2,1,0,0,0,0,1
Rep Donald Norcross,207,1,1,0,0,0,0,0
Ben Luján,208,1,1,0,0,0,0,0
Ben Ray Luján,209,1,1,0,0,0,0,0
Tom Suozzi,210,1,1,0,0,0,0,0
Bennie Thompson,211,1,1,0,0,0,0,0
Joseph Crowley,212,1,1,0,0,0,0,0
